,Combined_Score
std_9th_delta,0.016468
tqwt_meanValue_dec_22,0.016117
tqwt_medianValue_dec_17,0.015943
std_6th_delta,0.015773
tqwt_entropy_log_dec_28,0.015700
std_3rd_delta_delta,0.015635
tqwt_maxValue_dec_21,0.015459
det_LT_TKEO_mean_1_coef,0.015165
tqwt_skewnessValue_dec_6,0.015135
tqwt_medianValue_dec_24,0.014908
std_3rd_delta,0.014861
tqwt_skewnessValue_dec_8,0.014435
tqwt_medianValue_dec_26,0.014289
std_7th_delta,0.014284
tqwt_entropy_log_dec_25,0.014232
tqwt_TKEO_mean_dec_13,0.014074
tqwt_meanValue_dec_1,0.013913
tqwt_energy_dec_5,0.013240
tqwt_entropy_log_dec_3,0.012997
det_LT_entropy_log_4_coef,0.012780
tqwt_energy_dec_31,0.012673
det_entropy_shannon_1_coef,0.012454
std_4th_delta,0.012392
tqwt_TKEO_mean_dec_2,0.012328
tqwt_TKEO_std_dec_25,0.012053
mean_6th_delta,0.011684
IMF_SNR_SEO,0.011183
tqwt_TKEO_mean_dec_23,0.011147
tqwt_skewnessValue_dec_24,0.011141
tqwt_energy_dec_21,0.010857
std_5th_delta_delta,0.010673
tqwt_kurtosisValue_dec_19,0.010202
det_TKEO_std_2_coef,0.010199
tqwt_medianValue_dec_2,0.010162
b3,0.010143
tqwt_kurtosisValue_dec_8,0.010116
det_LT_TKEO_std_1_coef,0.010038
std_Log_energy,0.009846
app_LT_TKEO_mean_1_coef,0.009749
tqwt_meanValue_dec_19,0.009719
tqwt_meanValue_dec_5,0.009549
std_MFCC_6th_coef,0.009316
VFER_SNR_SEO,0.009174
tqwt_medianValue_dec_23,0.009167
tqwt_entropy_log_dec_2,0.009109
det_TKEO_mean_1_coef,0.008839
locDbShimmer,0.008756
tqwt_TKEO_std_dec_22,0.008467
GQ_std_cycle_open,0.008337
std_5th_delta,0.008037
std_MFCC_0th_coef,0.007784
meanAutoCorrHarmonicity,0.007699
mean_MFCC_5th_coef,0.007654
std_delta_log_energy,0.007202
tqwt_stdValue_dec_24,0.007083
tqwt_meanValue_dec_6,0.006747
tqwt_medianValue_dec_22,0.006566
tqwt_TKEO_mean_dec_25,0.006547
tqwt_kurtosisValue_dec_28,0.006390
tqwt_meanValue_dec_23,0.005895
det_entropy_log_2_coef,0.005877
tqwt_meanValue_dec_18,0.005404
tqwt_meanValue_dec_7,0.004575
tqwt_skewnessValue_dec_30,0.004021
meanNoiseToHarmHarmonicity,0.003971
std_MFCC_10th_coef,0.003730
det_LT_entropy_log_2_coef,0.003677
locShimmer,0.003389
mean_MFCC_4th_coef,0.003229
tqwt_meanValue_dec_16,0.003114
locPctJitter,0.003083
locAbsJitter,0.003029
std_MFCC_8th_coef,0.002975
GQ_std_cycle_closed,0.002900
tqwt_medianValue_dec_21,0.002792
tqwt_medianValue_dec_25,0.002428
tqwt_entropy_log_dec_1,0.002342
ppq5Jitter,0.002018
tqwt_entropy_shannon_dec_30,0.001854
tqwt_TKEO_std_dec_10,0.001245
tqwt_medianValue_dec_4,0.001211
IMF_SNR_entropy,0.001090
apq5Shimmer,0.000893
tqwt_energy_dec_24,0.000788
tqwt_TKEO_std_dec_11,0.000784
tqwt_energy_dec_30,0.000757
tqwt_energy_dec_19,0.000726
tqwt_kurtosisValue_dec_15,0.000715
std_2nd_delta,0.000686
rapJitter,0.000538
std_2nd_delta_delta,0.000529
IMF_NSR_entropy,0.000520
tqwt_energy_dec_18,0.000468
tqwt_skewnessValue_dec_35,0.000365
tqwt_TKEO_mean_dec_10,0.000361
tqwt_stdValue_dec_1,0.000361
std_delta_delta_0th,0.000351
tqwt_energy_dec_12,0.000339
det_LT_entropy_log_1_coef,0.000336
IMF_NSR_SEO,0.000324
std_0th_delta,0.000298
std_1st_delta,0.000289
mean_MFCC_1st_coef,0.000277
tqwt_energy_dec_22,0.000265
tqwt_energy_dec_1,0.000253
det_TKEO_std_1_coef,0.000215
tqwt_energy_dec_20,0.000208
std_MFCC_2nd_coef,0.000190
tqwt_kurtosisValue_dec_34,0.000181
tqwt_TKEO_mean_dec_1,0.000133
mean_MFCC_7th_coef,0.000132
mean_0th_delta,0.000126
tqwt_energy_dec_23,0.000121
tqwt_kurtosisValue_dec_7,0.000109
tqwt_stdValue_dec_30,0.000104
tqwt_skewnessValue_dec_34,0.000084
tqwt_skewnessValue_dec_36,0.000054
tqwt_TKEO_mean_dec_11,0.000048
std_MFCC_5th_coef,0.000041
std_MFCC_12th_coef,0.000032
tqwt_kurtosisValue_dec_21,0.000022
tqwt_TKEO_mean_dec_22,0.000022
mean_MFCC_11th_coef,0.000013
tqwt_minValue_dec_22,0.000006
tqwt_energy_dec_11,0.000000
tqwt_medianValue_dec_36,0.000000
tqwt_skewnessValue_dec_21,0.000000
mean_MFCC_8th_coef,0.000000
mean_delta_log_energy,0.000000
tqwt_skewnessValue_dec_20,0.000000
tqwt_medianValue_dec_8,0.000000
tqwt_energy_dec_4,0.000000
tqwt_meanValue_dec_30,0.000000
tqwt_skewnessValue_dec_16,0.000000
tqwt_skewnessValue_dec_14,0.000000
tqwt_meanValue_dec_10,0.000000
tqwt_skewnessValue_dec_18,0.000000
tqwt_skewnessValue_dec_15,0.000000
tqwt_energy_dec_2,0.000000
tqwt_medianValue_dec_12,0.000000
tqwt_skewnessValue_dec_22,0.000000
tqwt_stdValue_dec_2,0.000000
PPE,0.000000
mean_delta_delta_log_energy,0.000000
f3,0.000000
tqwt_skewnessValue_dec_12,0.000000
mean_1st_delta_delta,0.000000
mean_2nd_delta,0.000000
std_MFCC_7th_coef,0.000000
tqwt_medianValue_dec_5,0.000000
mean_6th_delta_delta,0.000000
mean_MFCC_12th_coef,0.000000
mean_4th_delta,0.000000
GNE_std,0.000000
mean_3rd_delta,0.000000
mean_delta_delta_0th,0.000000
tqwt_energy_dec_3,0.000000
mean_5th_delta,0.000000
tqwt_entropy_shannon_dec_1,0.000000
mean_3rd_delta_delta,0.000000
mean_MFCC_6th_coef,0.000000
stdDevPeriodPulses,0.000000
mean_7th_delta_delta,0.000000
tqwt_kurtosisValue_dec_36,0.000000
apq3Shimmer,0.000000
