,score
tqwt_medianValue_dec_31,0.0006696888739138455
locPctJitter,0.0006552400824777177
std_delta_log_energy,0.0006485471491705644
tqwt_TKEO_std_dec_13,0.0006421295072358775
locAbsJitter,0.0006357060697826981
ppq5Jitter,0.0006329779731589764
app_LT_TKEO_mean_1_coef,0.0006169001958025856
tqwt_TKEO_std_dec_19,0.0006167364593007491
IMF_SNR_SEO,0.0005791486792849293
tqwt_kurtosisValue_dec_30,0.0005699280264352428
std_MFCC_6th_coef,0.0005382351416619323
rapJitter,0.0005374786420469979
ddpJitter,0.0005371443391816089
det_LT_entropy_shannon_2_coef,0.000522624681625985
GNE_mean,0.0004882994606978866
tqwt_skewnessValue_dec_5,0.00048670618408433425
tqwt_TKEO_mean_dec_11,0.0004860219416443926
tqwt_skewnessValue_dec_3,0.0004805206931376087
tqwt_TKEO_std_dec_11,0.000475221629722496
tqwt_maxValue_dec_4,0.00047296930184019173
mean_7th_delta_delta,0.00045955328004595124
std_MFCC_0th_coef,0.0004582104809027956
tqwt_stdValue_dec_6,0.00044201779717664073
tqwt_energy_dec_21,0.0004335054572900946
tqwt_kurtosisValue_dec_1,0.0004274714565586943
GNE_NSR_TKEO,0.00042263903501901464
tqwt_TKEO_std_dec_10,0.00041604804954954163
IMF_NSR_TKEO,0.000414377494102795
tqwt_stdValue_dec_3,0.00041379844013976697
tqwt_energy_dec_24,0.0004003903317341047
tqwt_entropy_shannon_dec_8,0.0003991161603969621
tqwt_medianValue_dec_17,0.00039109733842408674
tqwt_stdValue_dec_27,0.0003820963722557355
tqwt_kurtosisValue_dec_16,0.00036939492538862564
stdDevPeriodPulses,0.00036433337728067355
tqwt_TKEO_mean_dec_19,0.00035389043671033845
tqwt_stdValue_dec_4,0.000351910808283749
tqwt_stdValue_dec_5,0.0003509374126277921
tqwt_kurtosisValue_dec_22,0.0003444340413471665
tqwt_stdValue_dec_28,0.00034335831706322007
tqwt_maxValue_dec_5,0.0003373039676936767
std_Log_energy,0.00033287072097882057
tqwt_TKEO_mean_dec_12,0.00032797912505282205
IMF_SNR_TKEO,0.0003271282714547504
tqwt_TKEO_mean_dec_25,0.00032253634257633563
tqwt_TKEO_mean_dec_23,0.00031722094573215557
tqwt_TKEO_mean_dec_13,0.0003069499907073574
tqwt_TKEO_mean_dec_22,0.0003014970749947202
tqwt_kurtosisValue_dec_20,0.0002991827645887165
tqwt_TKEO_std_dec_24,0.0002985812498531171
tqwt_kurtosisValue_dec_19,0.00028997745758036397
tqwt_maxValue_dec_6,0.0002857090699593045
tqwt_TKEO_std_dec_1,0.0002779134001651408
tqwt_TKEO_mean_dec_24,0.00026935508118727266
tqwt_stdValue_dec_36,0.0002683609915380479
tqwt_kurtosisValue_dec_17,0.00026673708613370896
tqwt_energy_dec_22,0.0002666078046556967
tqwt_maxValue_dec_26,0.0002665005038423493
tqwt_maxValue_dec_27,0.00026482566790346084
tqwt_kurtosisValue_dec_31,0.0002607626629773257
tqwt_kurtosisValue_dec_18,0.00025627889971000986
tqwt_kurtosisValue_dec_21,0.000254268526538517
tqwt_TKEO_std_dec_25,0.0002444501365726094
app_TKEO_std_1_coef,0.00023905901179637712
tqwt_stdValue_dec_35,0.00022269248160011726
tqwt_kurtosisValue_dec_32,0.0002225611273473284
tqwt_entropy_shannon_dec_7,0.000209800291197306
tqwt_energy_dec_23,0.00020773870695311338
tqwt_maxValue_dec_28,0.00020738625884549427
b3,0.000206915495965189
tqwt_maxValue_dec_36,0.0002018476185397532
