,UMCFS_Importance
maxIntensity,367171713045.1897
std_MFCC_3rd_coef,348756520650.101
tqwt_medianValue_dec_9,345700245317.6356
mean_MFCC_6th_coef,343590718844.3641
std_MFCC_6th_coef,328998186421.0438
tqwt_kurtosisValue_dec_31,326380867917.2725
PPE,324281023294.17474
tqwt_TKEO_mean_dec_11,323666469524.24414
tqwt_entropy_log_dec_1,313736695611.97473
mean_2nd_delta,294187722069.95593
det_entropy_log_10_coef,290147469069.2912
tqwt_skewnessValue_dec_13,286611711270.3884
tqwt_medianValue_dec_31,284982468723.5924
mean_7th_delta,274102852543.93848
tqwt_TKEO_std_dec_13,263691767198.828
tqwt_entropy_shannon_dec_6,258217769228.59143
app_LT_TKEO_std_1_coef,254786175044.82632
EEG,243633674767.55817
VFER_SNR_TKEO,240221510546.26102
numPulses,233975488092.40643
det_LT_entropy_log_8_coef,233487079100.14188
mean_7th_delta_delta,229526951466.72394
mean_8th_delta,226251431790.1199
mean_5th_delta,222058898035.52963
tqwt_TKEO_mean_dec_36,210675111428.4541
Ed_5_coef,210533021645.87897
tqwt_kurtosisValue_dec_12,209819151295.25214
Ed2_6_coef,202731427197.2138
tqwt_energy_dec_31,191623845496.42682
tqwt_TKEO_mean_dec_21,184072876145.79532
tqwt_minValue_dec_16,182742892000.02423
tqwt_entropy_shannon_dec_30,174412346413.90204
tqwt_TKEO_std_dec_4,170056391790.97202
Ed2_10_coef,167524605071.6349
tqwt_entropy_log_dec_8,162760231424.38577
tqwt_entropy_shannon_dec_9,145266889756.73782
tqwt_TKEO_std_dec_34,138098768257.79416
tqwt_entropy_log_dec_25,137999207492.17297
tqwt_TKEO_mean_dec_35,132257292170.6177
tqwt_stdValue_dec_6,126187093500.21687
tqwt_entropy_log_dec_15,120993301390.70277
tqwt_stdValue_dec_21,117974637476.89592
tqwt_minValue_dec_27,115135740813.85945
IMF_NSR_SEO,113113431910.02904
tqwt_kurtosisValue_dec_18,102645139253.93747
tqwt_kurtosisValue_dec_17,94859449246.36629
det_LT_entropy_shannon_4_coef,93921951677.12146
tqwt_TKEO_std_dec_24,91906347036.83727
tqwt_maxValue_dec_20,87852054109.31857
tqwt_maxValue_dec_35,85462380549.90381
mean_8th_delta_delta,84422565469.02
tqwt_entropy_log_dec_9,82273084401.17813
tqwt_TKEO_mean_dec_14,81495703527.08905
tqwt_TKEO_std_dec_7,72996025469.32796
tqwt_kurtosisValue_dec_20,68088456465.754776
tqwt_stdValue_dec_2,64618785346.384224
tqwt_maxValue_dec_34,64084413337.66489
tqwt_stdValue_dec_4,61736702334.034386
tqwt_stdValue_dec_26,57047048636.83956
tqwt_energy_dec_7,55977152628.14055
tqwt_minValue_dec_9,52784009926.23409
GNE_NSR_SEO,44192075397.44252
tqwt_energy_dec_2,44061371362.48073
tqwt_minValue_dec_3,41579304825.22661
tqwt_entropy_shannon_dec_13,38514869645.89201
meanAutoCorrHarmonicity,36019853820.55334
app_LT_TKEO_mean_2_coef,35134670817.82428
tqwt_maxValue_dec_13,30270715783.697117
std_11th_delta,27325075596.351933
locAbsJitter,26943824089.568024
std_MFCC_0th_coef,18166867743.10301
tqwt_TKEO_mean_dec_19,16528593770.17175
tqwt_kurtosisValue_dec_8,14830028446.030315
det_LT_entropy_log_4_coef,8841378968.108692
tqwt_TKEO_mean_dec_27,8212152174.958955
tqwt_stdValue_dec_5,5368717162.460921
std_10th_delta,4832908709.090596
tqwt_entropy_shannon_dec_2,4158754244.506936
tqwt_TKEO_mean_dec_8,2047572824.2404883
